Date,Open,High,Low,Close,Adj Close,Volume
2013-10-27,null,null,null,null,null,null
2013-11-03,7.128000,7.301000,7.044000,7.121000,6.606113,27897618
2013-11-10,7.173000,7.300000,6.765000,7.096000,6.582921,66873759
2013-11-17,7.086000,7.380000,7.041000,7.277000,6.750834,33892706
2013-11-24,7.308000,7.520000,7.304000,7.470000,6.929878,27169311
2013-12-01,7.500000,7.589000,7.332000,7.498000,6.955854,32770451
2013-12-08,7.516000,7.575000,7.263000,7.289000,6.761966,28606454
2013-12-15,7.265000,7.640000,7.201000,7.607000,7.056973,33204164
2013-12-22,7.640000,7.794000,7.619000,7.768000,7.206332,8348356
2013-12-29,7.738000,7.837000,7.659000,7.732000,7.172935,12877608
2014-01-05,7.730000,7.756000,7.462000,7.536000,6.991106,28379340
2014-01-12,7.550000,7.773000,7.412000,7.697000,7.140466,39166229
2014-01-19,7.679000,7.800000,7.352000,7.378000,6.844531,37185686
2014-01-26,7.388000,7.770000,7.231000,7.656000,7.102430,61465111
2014-02-02,7.710000,7.727000,7.331000,7.501000,6.958637,40661768
2014-02-09,7.552000,7.834000,7.500000,7.817000,7.251789,38496894
2014-02-16,7.830000,7.924000,7.650000,7.893000,7.437651,32551060
2014-02-23,7.880000,8.250000,7.821000,8.220000,7.745787,37011845
2014-03-02,8.012000,8.665000,7.937000,8.410000,7.924825,47554428
2014-03-09,8.360000,8.475000,7.841000,7.924000,7.466862,34243487
2014-03-16,8.000000,8.589000,7.980000,8.470000,7.981364,43985706
2014-03-23,8.484000,8.650000,8.246000,8.579000,8.084076,31069533
2014-03-30,8.630000,8.979000,8.610000,8.742000,8.237672,34695136
2014-04-06,8.565000,8.613000,8.058000,8.143000,7.673227,39216423
2014-04-13,8.030000,8.425000,7.905000,8.409000,7.923883,32019853
2014-04-20,8.409000,8.559000,8.233000,8.239000,7.763690,26600776
2014-04-27,8.290000,8.645000,8.086000,8.274000,7.796671,36748608
2014-05-04,8.241000,8.669000,8.036000,8.551000,8.057690,37445424
2014-05-11,8.610000,8.874000,8.416000,8.482000,7.992671,29536749
2014-05-18,8.497000,8.706000,8.443000,8.646000,8.147210,19130148
2014-05-25,8.700000,9.160000,8.700000,9.099000,8.574076,27812892
2014-06-01,9.062000,9.178000,8.849000,9.159000,8.630615,29054161
2014-06-08,9.140000,9.211000,8.972000,9.100000,8.575019,20837281
2014-06-15,9.082000,9.450000,9.081000,9.377000,8.836039,32123337
2014-06-22,9.422000,9.437000,8.961000,9.041000,8.519423,27063493
2014-06-29,9.090000,9.462000,9.090000,9.319000,8.781384,20804329
2014-07-06,9.334000,9.387000,8.861000,8.963000,8.445922,28654291
2014-07-13,9.000000,9.210000,8.741000,9.150000,8.622133,30231897
2014-07-20,9.148000,9.380000,8.887000,8.909000,8.395038,29474462
2014-07-27,8.950000,8.980000,8.107000,8.376000,7.892787,61447540
2014-08-03,8.392000,8.405000,7.967000,8.222000,7.747670,34053654
2014-08-10,8.303000,8.630000,8.161000,8.440000,7.953094,30178492
2014-08-17,8.572000,8.850000,8.439000,8.734000,8.230134,37568322
2014-08-24,8.839000,8.960000,8.746000,8.845000,8.334729,23579737
2014-08-31,8.850000,9.115000,8.797000,9.047000,8.525077,26160344
2014-09-07,9.055000,9.161000,9.000000,9.018000,8.497749,20077436
2014-09-14,8.950000,9.025000,8.704000,8.996000,8.477017,34092847
2014-09-21,8.924000,8.985000,8.314000,8.523000,8.031305,41238109
2014-09-28,8.535000,8.580000,7.851000,7.855000,7.401843,37612517
2014-10-05,8.010000,8.045000,7.141000,7.174000,6.760130,57280592
2014-10-12,6.960000,7.354000,6.768000,7.239000,6.821380,70489703
2014-10-19,7.234000,7.646000,7.060000,7.565000,7.128573,47917906
2014-10-26,7.634000,7.766000,7.152000,7.741000,7.294420,51883084
2014-11-02,7.756000,7.853000,7.516000,7.592000,7.154016,36811294
2014-11-09,7.568000,7.718000,7.531000,7.584000,7.146478,21716726
2014-11-16,7.513000,8.180000,7.505000,8.132000,7.662863,32687059
2014-11-23,8.180000,8.209000,7.725000,7.878000,7.423516,46344759
2014-11-30,7.815000,8.551000,7.781000,8.523000,8.031305,38427340
2014-12-07,8.562000,8.620000,8.350000,8.350000,7.868287,30395331
2014-12-14,8.327000,8.699000,8.083000,8.623000,8.125537,34863378
2014-12-21,8.649000,8.762000,8.612000,8.748000,8.243325,6398628
2014-12-28,8.770000,8.984000,8.655000,8.889000,8.376191,11830077
2015-01-04,8.869000,8.969000,8.471000,8.774000,8.267825,31179768
2015-01-11,8.822000,9.136000,8.767000,9.114000,8.588211,39134785
2015-01-18,9.180000,9.574000,9.156000,9.535000,8.984922,38321763
2015-01-25,9.520000,10.120000,9.510000,9.977000,9.401423,40836361
2015-02-01,9.925000,10.140000,9.764000,10.080000,9.498482,30828875
2015-02-08,10.000000,10.280000,9.709000,10.055000,9.474924,31959742
2015-02-15,10.065000,10.250000,9.870000,10.235000,9.816935,21555191
2015-02-22,10.320000,10.445000,10.245000,10.345000,9.922442,18271774
2015-03-01,10.330000,10.810000,10.235000,10.745000,10.306103,23850210
2015-03-08,10.720000,11.330000,10.670000,11.185000,10.728131,35710615
2015-03-15,11.190000,11.415000,10.865000,11.175000,10.718540,29103923
2015-03-22,11.310000,11.345000,10.500000,10.830000,10.387631,31951598
2015-03-29,11.000000,11.335000,10.970000,11.195000,10.737722,23664750
2015-04-05,11.195000,11.815000,11.195000,11.805000,11.322806,23709831
2015-04-12,11.800000,11.980000,11.210000,11.235000,10.776088,27202181
2015-04-19,11.245000,11.890000,11.175000,11.420000,10.953532,25490166
2015-04-26,11.485000,11.725000,10.400000,10.580000,10.147842,29494242
2015-05-03,10.610000,11.445000,10.495000,11.400000,10.934348,38895844
2015-05-10,11.390000,11.520000,11.090000,11.390000,10.924758,24474830
2015-05-17,11.445000,11.915000,11.275000,11.675000,11.198116,19132194
2015-05-24,11.675000,12.525000,11.505000,11.870000,11.385151,32152349
2015-05-31,11.990000,12.145000,11.625000,11.730000,11.250869,27278197
2015-06-07,11.700000,11.730000,11.150000,11.530000,11.059039,29752298
2015-06-14,11.410000,11.640000,11.065000,11.480000,11.011081,36750156
2015-06-21,11.800000,12.045000,11.685000,11.835000,11.351581,24411588
2015-06-28,11.200000,11.610000,11.050000,11.190000,10.732926,30306450
2015-07-05,10.955000,11.230000,10.665000,11.205000,10.747314,30865841
2015-07-12,11.385000,11.535000,11.105000,11.365000,10.900778,32007605
2015-07-19,11.435000,11.435000,10.465000,10.545000,10.114273,42786231
2015-07-26,10.520000,10.550000,9.841000,10.205000,9.788161,43305491
2015-08-02,10.300000,10.440000,10.015000,10.085000,9.673062,28746715
2015-08-09,10.195000,10.360000,9.449000,9.515000,9.126346,40312832
2015-08-16,9.580000,9.755000,8.870000,8.990000,8.622788,47449027
2015-08-23,8.685000,9.669000,8.318000,9.552000,9.161834,77329640
2015-08-30,9.501000,9.915000,9.318000,9.741000,9.343114,56542229
2015-09-06,9.818000,10.235000,9.573000,9.582000,9.190608,34461151
2015-09-13,9.614000,10.335000,9.614000,9.774000,9.374764,39887320
2015-09-20,9.709000,9.849000,8.968000,9.543000,9.153201,42667975
2015-09-27,9.470000,10.225000,9.190000,9.751000,9.352705,41217953
2015-10-04,9.970000,10.635000,9.948000,10.615000,10.181413,31657388
2015-10-11,10.655000,11.200000,10.230000,10.995000,10.545891,36152665
2015-10-18,10.945000,11.915000,10.905000,11.870000,11.385151,26518223
2015-10-25,11.875000,11.960000,10.975000,11.195000,10.737722,37247914
2015-11-01,11.110000,11.455000,10.855000,11.275000,10.814454,34553165
2015-11-08,11.325000,11.555000,11.085000,11.210000,10.752110,18752599
2015-11-15,11.050000,11.960000,11.040000,11.920000,11.433108,23334476
2015-11-22,11.865000,13.620000,11.195000,13.600000,13.044486,47134154
2015-11-29,13.760000,14.195000,13.305000,13.945000,13.375394,39994140
2015-12-06,14.000000,14.155000,13.175000,13.300000,12.756741,26065996
2015-12-13,13.415000,13.625000,12.990000,13.550000,12.996530,41117662
2015-12-20,13.565000,13.885000,13.270000,13.475000,12.924593,15889358
2015-12-27,13.445000,13.680000,13.225000,13.505000,12.953367,6980492
2016-01-03,13.205000,13.235000,11.930000,11.930000,11.442699,33581964
2016-01-10,11.775000,12.445000,11.295000,11.375000,10.910370,36562738
2016-01-17,11.355000,12.360000,11.350000,12.310000,11.807178,41594972
2016-01-24,12.435000,12.435000,11.855000,12.280000,11.778403,30080084
2016-01-31,12.535000,12.560000,10.955000,11.065000,10.613032,44650752
2016-02-07,11.130000,11.155000,10.115000,10.500000,10.071112,38828251
2016-02-14,10.845000,11.480000,10.735000,11.255000,10.795271,31944244
2016-02-21,11.395000,11.570000,10.830000,11.175000,10.908837,28041950
2016-02-28,11.095000,11.850000,11.055000,11.430000,11.157763,34369999
2016-03-06,11.335000,11.850000,11.200000,11.820000,11.538474,30397429
2016-03-13,11.930000,12.230000,11.780000,12.135000,11.845972,29009661
2016-03-20,12.020000,12.590000,11.855000,12.250000,11.958233,19631993
2016-03-27,12.250000,12.695000,12.250000,12.565000,12.265730,19901323
2016-04-03,12.520000,12.830000,12.065000,12.405000,12.109541,22513104
2016-04-10,12.350000,12.750000,12.105000,12.520000,12.221803,19216859
2016-04-17,12.360000,12.930000,12.340000,12.490000,12.192516,26464857
2016-04-24,12.460000,12.995000,12.385000,12.425000,12.129065,24433641
2016-05-01,12.510000,12.770000,11.780000,11.990000,11.704426,31992102
2016-05-08,12.055000,12.390000,11.810000,12.040000,11.753235,23481831
2016-05-15,12.040000,12.490000,11.845000,12.485000,12.187635,15873369
2016-05-22,12.550000,13.410000,12.505000,13.410000,13.090604,19022285
2016-05-29,13.400000,13.500000,13.040000,13.180000,12.866082,20069291
2016-06-05,13.190000,13.615000,13.095000,13.125000,12.812393,22402450
2016-06-12,12.935000,13.000000,12.235000,12.745000,12.441443,25569212
2016-06-19,12.960000,13.850000,12.000000,12.995000,12.685489,31267919
2016-06-26,12.880000,13.150000,12.260000,13.075000,12.763583,25723886
2016-07-03,13.070000,13.110000,11.635000,12.785000,12.480491,26039630
2016-07-10,12.920000,13.740000,12.910000,13.560000,13.237032,26870107
2016-07-17,13.845000,14.315000,13.735000,14.155000,13.817860,22560783
2016-07-24,14.165000,15.110000,14.115000,14.800000,14.447498,21401571
2016-07-31,14.985000,14.990000,13.560000,14.495000,14.149762,27287972
2016-08-07,14.570000,15.380000,14.470000,15.290000,14.925827,18434080
2016-08-14,15.290000,15.515000,14.965000,15.325000,14.959993,17427375
2016-08-21,15.320000,15.565000,15.035000,15.100000,14.740353,12813481
2016-08-28,14.980000,15.340000,14.685000,14.925000,14.569521,15854724
2016-09-04,14.805000,15.015000,14.310000,14.415000,14.071668,16155163
2016-09-11,14.120000,14.870000,14.040000,14.630000,14.281548,20457247
2016-09-18,14.785000,15.730000,14.735000,15.505000,15.135707,18259873
2016-09-25,15.375000,15.880000,15.000000,15.880000,15.501775,22396831
2016-10-02,15.880000,16.240000,15.725000,16.040001,15.657965,14938393
2016-10-09,16.080000,16.250000,15.500000,15.865000,15.487132,17986545
2016-10-16,15.845000,16.250000,15.745000,16.180000,15.794630,15947100
2016-10-23,16.209999,16.469999,15.785000,16.235001,15.848320,16878267
2016-10-30,16.195000,16.480000,15.345000,15.480000,15.111301,17288513
2016-11-06,15.765000,16.235001,14.910000,15.345000,14.979518,24211688
2016-11-13,15.500000,16.014999,15.365000,16.004999,15.623796,23441698
2016-11-20,16.059999,17.030001,15.935000,16.020000,15.638441,33926076
2016-11-27,15.920000,16.084999,15.130000,15.325000,14.959993,24957424
2016-12-04,15.250000,16.590000,15.200000,16.195000,15.809272,24382042
2016-12-11,16.215000,16.490000,15.720000,16.375000,15.984984,25014728
2016-12-18,16.370001,16.680000,16.370001,16.540001,16.146055,13850059
2016-12-25,16.540001,16.775000,16.510000,16.510000,16.116770,6601725
2017-01-01,16.450001,16.834999,16.065001,16.219999,15.833675,15557094
2017-01-08,16.334999,16.594999,16.264999,16.530001,16.136293,17171151
2017-01-15,16.400000,16.615000,16.295000,16.459999,16.067959,16078575
2017-01-22,16.344999,17.245001,16.250000,17.135000,16.726883,20368804
2017-01-29,17.115000,17.900000,16.934999,17.754999,17.332115,25220661
2017-02-05,17.875000,17.965000,16.674999,17.045000,16.639029,29155483
2017-02-12,17.080000,17.325001,16.885000,17.000000,16.595098,21565176
2017-02-19,17.065001,17.549999,16.780001,16.910000,16.720427,20361325
2017-02-26,16.950001,17.415001,16.555000,17.219999,17.026951,19241527
2017-03-05,17.155001,17.250000,16.790001,17.000000,16.809418,15922535
2017-03-12,16.980000,17.740000,16.924999,17.715000,17.516401,23268808
2017-03-19,17.600000,18.745001,16.790001,18.705000,18.495302,30368775
2017-03-26,18.520000,19.230000,18.370001,19.145000,18.930370,24705188
2017-04-02,19.230000,19.260000,18.660000,18.805000,18.594183,19963952
2017-04-09,18.805000,18.940001,18.280001,18.540001,18.332153,15082782
2017-04-16,18.540001,18.605000,18.160000,18.250000,18.045404,15451186
2017-04-23,18.559999,19.235001,18.520000,19.000000,18.786997,20903822
2017-04-30,19.000000,19.100000,18.520000,18.780001,18.569464,19335421
2017-05-07,18.885000,19.235001,18.545000,19.040001,18.826548,21468402
2017-05-14,19.299999,19.665001,18.605000,19.260000,19.044081,25455320
2017-05-21,19.330000,19.764999,18.900000,19.670000,19.449486,16173887
2017-05-28,19.629999,20.190001,19.545000,20.094999,19.869720,15878442
2017-06-04,20.094999,20.485001,19.940001,20.385000,20.156469,14266728
2017-06-11,19.870001,19.940001,18.924999,19.770000,19.548365,40627159
2017-06-18,19.940001,20.405001,19.385000,19.660000,19.439596,16585394
2017-06-25,19.775000,19.870001,18.254999,18.485001,18.277771,25734324
2017-07-02,18.545000,18.834999,18.295000,18.665001,18.455753,18873187
2017-07-09,18.820000,19.344999,18.625000,19.260000,19.044081,18893637
2017-07-16,19.400000,19.684999,18.395000,18.530001,18.322266,27053332
2017-07-23,18.570000,18.785000,18.270000,18.395000,18.188780,22898474
2017-07-30,18.375000,19.254999,17.830000,19.230000,19.014418,33877263
2017-08-06,19.250000,19.285000,18.725000,18.959999,18.747444,18723823
2017-08-13,19.120001,19.240000,18.705000,18.775000,18.564518,13255797
2017-08-20,18.750000,19.344999,18.570000,19.145000,18.930370,13367582
2017-08-27,18.990000,19.950001,18.785000,19.825001,19.602747,16146839
2017-09-03,19.590000,20.209999,19.490000,20.184999,19.958712,13906454
2017-09-10,20.290001,20.735001,20.045000,20.504999,20.275124,18639383
2017-09-17,20.655001,20.985001,20.485001,20.885000,20.650864,14939155
2017-09-24,20.865000,21.270000,20.215000,21.270000,21.031548,16609584
2017-10-01,21.440001,22.125000,21.424999,21.650000,21.407288,16395834
2017-10-08,21.745001,21.834999,21.445000,21.795000,21.550661,13162875
2017-10-15,21.850000,22.665001,21.680000,22.465000,22.213150,22796725
2017-10-22,22.600000,23.445000,22.495001,23.330000,23.068453,20057538
2017-10-29,23.424999,24.725000,23.385000,24.375000,24.101738,26916601
2017-11-05,24.590000,24.834999,22.825001,23.520000,23.256325,28001442
2017-11-12,23.580000,24.700001,22.625000,24.295000,24.022635,37610448
2017-11-19,24.135000,25.445000,24.075001,24.715000,24.437927,20595133
2017-11-26,24.565001,24.665001,22.020000,22.525000,22.272478,35217992
2017-12-03,23.040001,23.105000,21.889999,22.795000,22.539452,29272501
2017-12-10,22.855000,23.235001,22.555000,22.700001,22.445517,21340314
2017-12-17,23.000000,23.340000,22.740000,23.215000,22.954742,19109583
2017-12-24,23.215000,23.245001,22.834999,22.834999,22.579002,7034888
2017-12-31,22.834999,24.370001,22.510000,24.360001,24.086906,18054798
2018-01-07,24.549999,25.129999,23.719999,24.120001,23.849598,20838408
2018-01-14,24.150000,25.430000,23.690001,25.360001,25.075697,26560650
2018-01-21,25.500000,25.500000,23.530001,23.930000,23.661728,28578592
2018-01-28,24.379999,24.580000,22.360001,22.400000,22.148880,36068746
2018-02-04,22.110001,22.870001,21.070000,21.410000,21.169977,44749909
2018-02-11,21.799999,22.270000,21.160000,22.020000,21.773140,29915352
2018-02-18,22.219999,22.549999,21.809999,22.260000,22.010448,21558080
2018-02-25,22.430000,22.520000,21.190001,21.370001,21.370001,26728598
2018-03-04,21.200001,23.600000,21.200001,23.510000,23.510000,27904983
2018-03-11,23.830000,23.959999,22.840000,23.200001,23.200001,25789930
2018-03-18,23.090000,23.170000,21.670000,22.180000,22.180000,25244836
2018-03-25,22.209999,22.709999,21.299999,21.740000,21.740000,26453927
2018-04-01,21.740000,21.740000,20.260000,21.180000,21.180000,24760460
2018-04-08,21.270000,21.920000,20.959999,21.620001,21.620001,21322663
2018-04-15,21.700001,22.290001,21.000000,21.100000,21.100000,24886879
2018-04-22,21.059999,21.879999,20.820000,21.549999,21.549999,32010518
2018-04-29,21.540001,22.940001,21.139999,22.730000,22.730000,28477677
2018-05-06,22.990000,24.290001,22.940001,23.959999,23.959999,22756098
2018-05-13,23.990000,24.559999,23.790001,24.000000,24.000000,21423162
2018-05-20,24.000000,24.320000,23.540001,23.809999,23.809999,18701065
2018-05-27,23.950001,24.150000,23.340000,23.610001,23.610001,16582923
2018-06-03,23.809999,25.110001,23.459999,24.730000,24.730000,29464032
2018-06-10,24.930000,25.760000,24.440001,25.110001,25.110001,32923902
2018-06-17,25.070000,25.139999,23.030001,23.110001,23.110001,28916596
2018-06-24,22.990000,22.990000,21.049999,21.830000,21.830000,47570546
2018-07-01,21.299999,21.690001,20.750000,21.510000,21.510000,31763746
2018-07-08,21.780001,22.280001,21.410000,21.920000,21.920000,23706709
2018-07-15,22.010000,23.219999,21.790001,22.879999,22.879999,25532065
2018-07-22,22.760000,23.309999,22.080000,22.889999,22.889999,25086438
2018-07-29,22.780001,23.340000,21.770000,22.200001,22.200001,30041346
2018-08-05,22.280001,22.730000,21.650000,21.920000,21.920000,20333067
2018-08-12,21.799999,22.280001,20.879999,21.219999,21.219999,22051501
2018-08-19,21.299999,21.780001,20.930000,21.639999,21.639999,21426919
2018-08-26,21.830000,22.459999,21.740000,21.920000,21.920000,16836962
2018-09-02,21.840000,22.010000,19.760000,20.090000,20.090000,30772835
2018-09-09,19.934999,20.410000,18.270000,19.764999,19.764999,45987171
2018-09-16,19.785000,20.570000,19.334999,20.100000,20.100000,33120347
2018-09-23,20.000000,20.530001,19.440001,19.570000,19.570000,26634389
2018-09-30,19.594999,20.790001,19.379999,19.740000,19.740000,29849320
2018-10-07,19.600000,19.629999,17.480000,18.139999,18.139999,50008120
2018-10-14,18.094999,19.840000,17.555000,17.594999,17.594999,39510161
2018-10-21,17.750000,18.070000,15.755000,16.139999,16.139999,57139877
2018-10-28,16.250000,19.174999,16.250000,18.565001,18.565001,51003328
2018-11-02,18.990000,19.174999,18.540001,18.565001,18.565001,10830535
